村编号 	村名称
130323023386	二村
130323023389	寨里庄
130323023390	王各庄
130323023393	单庄
130323023395	大曹各寨
130323023397	前朱家峪
130323023398	后朱峪
130323023400	杨树沟
130323023402	双岭
130323023403	马坊
130323023405	陈家黑石
130323023406	马家黑石
130323023408	张家黑石
130323023410	梁家湾
130323023411	界岭口
130323023413	柳树沟
130323023415	西峪沟
130323023416	小岭
130323023418	箭杆岭村
130323023419	罗家沟
130323023421	北寨
130323023423	南寨
130323023424	呼各庄
130323023426	安屯
130323023428	头道河
130323023429	战马王
130323023431	猩猩峪
130323023433	大石窟
130323028434	陈庄
130323028436	小杨
130323028438	庙岭
130323028439	马家坊
130323028441	王庄户
130323028443	孙庄
130323028444	王各庄
130323028446	后麻
130323028447	于各庄
130323028449	郭庄
130323028451	楚庄
130323028452	东沟
130323028454	二村
130323028456	四村
130323028457	五村
130323028459	七村
130323028461	代家汀
130323028462	演武营
130323028465	北台庄
130323028468	吴庄
130323028469	李各庄
130323028472	南关
130323028475	山后
130323028476	干涧岭
130323028479	陈家铺
130323028482	康各庄
130323028483	牛角峪
130323028486	西周
130323028488	柳各庄
130323028490	石槽峪
130323028493	青山口
130323028495	石碑沟
130323028497	巧嘴
130323028499	山神庙
130323028501	东胜寨
130323031504	政庄
130323031506	杨洛木
130323031508	王家湾
130323031511	范各庄
130323031513	第九营
130323031515	池庄
130323031517	殷陈庄
130323031520	滑石后
130323031522	黄宝峪
130323034524	下庄
130323034527	赵庄
130323034528	香营
130323034531	钟庄
130323034534	英山河
130323034535	崔庄
130323034538	王营
130323034541	西吴
130323034542	新庄
130323034545	魏庄
130323034548	陆庄
130323034549	高庄敬老院
130323033552	程各庄村
130323033553	袁庄村
130323033556	后街村
130323033559	李家堡子村
130323033560	曹家堡子村
130340004008	王校庄村
130340004011	望海店村
130340004012	深河村
130340004015	许庄村
130340004018	西张庄村
130340004019	烟台山村
130340004022	西场
130340004023	华义庄
130340002026	金庄村
130340002029	张庄村
